Loan ID,Borrower Name,Branch,RM,Province,City / Town,Loan Product,Sector,Collateral Type,Issue Date,Maturity Date,Tenor (Mo),"Loan Amt
(USD)","Outstanding
(USD)","Int Rate
(%)","Annual Income
(USD)","DTI
(%)",DSCR,"Credit
Score","Emp Length
(Yrs)","Collateral
Value (USD)","LTV
(%)","Revol Util
(%)",DPD,"Missed
Pmts","Part
Pmts","Bank Bal
Trend","Inflation
Exp","Forex
Income",Loan Status
CNB-010011,Dumisani Phidza,Kwekwe Branch,M. Ndlovu,Matabeleland South,Beitbridge,Export Finance,Transport & logistics,No collateral,7/1/2023,6/7/2023,6,"$31,000","$8,680",21.90%,"$168,100",26.20%,3.42x,696,15,$0,,8.20%,0,1,0,Improving,Low,Yes,Performing
CNB-010012,Tino Chirwa,Beitbridge Branch,H. Zimba,Manicaland,Mutare,Equipment Finance,Retail trade,No collateral,3/4/2023,30/9/2023,6,"$3,200",$896,30.70%,"$12,000",54.00%,0.91x,517,2,$0,,73.00%,0,4,3,Declining,High,Yes,Watch
CNB-010013,Tino Munyeza,Harare Main,A. Nkomo,Harare Metropolitan,Harare,Microfinance Loan,Textiles & clothing,Residential property,27/6/2020,24/12/2020,6,"$18,000","$5,040",32.10%,"$121,400",63.50%,0.85x,403,3,"$5,102",98.80%,81.10%,60,3,3,Declining,High,Yes,Watch
CNB-010014,Tendai Dziva,Beitbridge Branch,C. Sibanda,Manicaland,Rusape,Salary-Backed Loan,Agriculture,Stock/inventory pledge,27/12/2021,22/12/2022,12,"$9,600","$2,688",48.50%,"$53,200",93.50%,0.72x,299,10,"$2,388",112.60%,79.20%,45,2,1,Severely declining,High,No,Non-performing
CNB-010015,Shingirai Phidza,Chinhoyi Branch,P. Mhlanga,Manicaland,Chipinge,Youth Enterprise Loan,Mining,Commercial vehicle,17/5/2020,26/4/2024,48,"$8,200","$2,296",37.70%,"$42,800",59.70%,0.81x,532,3,"$3,918",58.60%,83.80%,14,3,3,Severely declining,Medium,No,Watch
CNB-010016,Zodwa Zulu,Victoria Falls Branch,S. Dube,Harare Metropolitan,Harare,Trade Finance Facility,Agriculture,No collateral,26/7/2022,17/1/2024,18,"$18,600","$5,208",38.20%,"$61,300",56.90%,0.76x,542,5,$0,,77.20%,30,4,0,Declining,High,No,Watch
CNB-010017,Chipo Nyoni,Mutare Branch,N. Gumbo,Harare Metropolitan,Harare,Digital Business Loan,Retail trade,Motor vehicle,23/7/2023,7/7/2026,36,"$86,000","$61,003",25.80%,"$582,700",35.40%,1.58x,580,7,"$111,712",54.60%,47.50%,14,0,0,Stable,High,No,Special mention
CNB-010018,Sibonelo Mahachi,Chitungwiza Branch,S. Dube,Bulawayo Metropolitan,Bulawayo,Import Finance,Retail trade,Stock/inventory pledge,14/2/2023,3/2/2025,24,"$3,700","$1,499",20.50%,"$15,700",17.40%,2.38x,672,15,"$3,766",39.80%,23.20%,0,1,0,Stable,Low,No,Performing
CNB-010019,Tinashe Nyamudeza,Mutare Branch,G. Mutasa,Midlands,Kwekwe,Export Finance,Textiles & clothing,Share pledge,17/10/2021,7/10/2023,24,"$9,100","$2,548",36.40%,"$18,200",72.10%,0.81x,527,15,"$6,858",37.20%,77.60%,60,2,2,Declining,Medium,No,Watch
CNB-010020,Gamuchirai Nkosi,Harare Main,R. Ncube,Bulawayo Metropolitan,Bulawayo,Equipment Finance,Retail trade,Commercial property,26/12/2020,21/12/2021,12,"$3,600","$1,008",39.50%,"$23,700",67.50%,0.77x,479,15,"$1,811",55.70%,83.50%,60,2,1,Severely declining,High,Yes,Watch
CNB-010021,Tichaona Pfukwa,Harare Main,G. Mutasa,Midlands,Zvishavane,Medical Finance,ICT & telecoms,Salary cession,1/5/2021,21/4/2023,24,"$1,300",$364,23.30%,"$8,200",13.30%,2.76x,681,20,$835,43.60%,13.80%,0,1,1,Improving,Medium,No,Performing
CNB-010022,Ntombifuthi Tapfuma,Chitungwiza Branch,F. Moyo,Harare Metropolitan,Harare,School Fees Loan,Agriculture,Equipment & machinery,15/12/2021,13/6/2022,6,"$3,100",$868,18.40%,"$24,500",24.80%,2.44x,723,3,"$1,909",45.50%,6.90%,0,0,1,Improving,Low,No,Performing
CNB-010023,Simba Vera,Kwekwe Branch,L. Charamba,Bulawayo Metropolitan,Bulawayo,Digital Business Loan,Informal trade,Equipment & machinery,30/1/2023,23/7/2024,18,"$1,800",$504,47.60%,"$4,500",81.80%,0.66x,337,3,$936,53.80%,89.50%,60,7,4,Severely declining,High,No,Non-performing
CNB-010024,Blessed Mthembu,Mutare Branch,T. Chinyoka,Bulawayo Metropolitan,Bulawayo,Export Finance,Agriculture,No collateral,14/6/2022,11/12/2022,6,"$5,300","$1,484",22.90%,"$9,700",20.30%,3.32x,706,1,$0,,39.40%,0,1,1,Improving,Medium,No,Performing
CNB-010025,Tichaona Tshuma,Gweru Branch,E. Mapfumo,Matabeleland South,Beitbridge,Agricultural Input Finance,Agriculture,Stock/inventory pledge,26/5/2024,17/11/2025,18,"$72,800","$60,375",18.90%,"$91,500",28.10%,3.76x,776,3,"$126,990",47.50%,38.80%,0,0,1,Stable,Low,Yes,Performing
CNB-010026,Rangarirai Nkomo,Gweru Branch,M. Ndlovu,Mashonaland East,Marondera,Import Finance,Agriculture,Share pledge,22/3/2020,17/3/2021,12,"$41,300","$11,564",32.00%,"$93,900",55.30%,0.94x,426,20,"$20,605",56.10%,62.70%,60,1,2,Stable,Medium,No,Watch
CNB-010027,Nokuthula Muguti,Victoria Falls Branch,L. Charamba,Mashonaland West,Chegutu,Digital Business Loan,Agro-processing,Stock/inventory pledge,25/9/2020,15/9/2022,24,"$49,500","$13,860",31.50%,"$152,100",63.90%,1.17x,498,5,"$33,417",41.50%,83.00%,30,1,0,Stable,High,No,Watch
CNB-010028,Dzikamai Msipa,Gweru Branch,T. Chinyoka,Harare Metropolitan,Harare,Microfinance Loan,Retail trade,Motor vehicle,18/1/2022,17/7/2022,6,"$5,400","$1,512",31.80%,"$22,300",54.70%,1.87x,655,10,"$1,596",94.70%,39.90%,30,2,0,Declining,Medium,No,Special mention
CNB-010029,Trust Zulu,Chinhoyi Branch,H. Zimba,Masvingo,Masvingo,Trade Finance Facility,Retail trade,Personal guarantee,12/12/2022,7/12/2023,12,"$16,300","$4,564",27.10%,"$111,700",40.10%,1.29x,631,0,"$3,413",133.70%,57.80%,14,1,2,Declining,Medium,No,Special mention
CNB-010030,Tsungirirai Nkosi,Masvingo Branch,A. Nkomo,Masvingo,Chiredzi,SME Working Capital Loan,Real estate,Salary cession,7/11/2020,12/10/2025,60,"$30,100","$12,955",22.10%,"$40,600",52.30%,1.29x,543,5,"$8,663",149.60%,47.00%,7,1,1,Declining,Medium,No,Special mention
CNB-010031,Tsungirirai Tshuma,Gweru Branch,N. Gumbo,Matabeleland North,Victoria Falls,Salary-Backed Loan,Construction,Motor vehicle,29/11/2021,19/11/2023,24,"$2,800",$784,19.70%,"$9,300",27.70%,2.88x,696,3,$473,165.80%,33.90%,0,0,1,Stable,Low,No,Performing
CNB-010032,Onai Mwale,Chinhoyi Branch,L. Charamba,Mashonaland West,Chinhoyi,Trade Finance Facility,Hospitality & tourism,Personal guarantee,2/6/2019,27/5/2020,12,"$6,800","$1,904",34.40%,"$19,200",70.20%,1.19x,435,2,"$3,961",48.10%,84.70%,60,1,0,Declining,High,No,Watch
CNB-010033,Trust Dziva,Chitungwiza Branch,H. Zimba,Midlands,Zvishavane,Property Development Loan,Construction,Agricultural land,6/2/2023,30/7/2024,18,"$1,600",$448,19.60%,"$3,200",12.10%,1.99x,738,10,$792,56.60%,32.30%,0,1,0,Stable,Medium,Yes,Performing
CNB-010034,Tsungirirai Zimba,Chinhoyi Branch,D. Rusike,Mashonaland East,Marondera,Digital Business Loan,Construction,Personal guarantee,5/5/2023,1/11/2023,6,"$6,700","$1,876",25.60%,"$10,400",53.60%,1.72x,603,10,"$3,538",53.00%,47.10%,0,1,0,Stable,High,Yes,Special mention
CNB-010035,Blessed Samasuwo,Kwekwe Branch,R. Ncube,Bulawayo Metropolitan,Bulawayo,Equipment Finance,Manufacturing,Personal guarantee,11/11/2023,26/10/2026,36,$200,$157,39.30%,"$1,000",96.60%,0.45x,429,5,$386,40.60%,91.00%,60,3,2,Severely declining,High,No,Non-performing
CNB-010036,Ngonidzashe Tembo,Masvingo Branch,F. Moyo,Bulawayo Metropolitan,Bulawayo,Import Finance,Agriculture,Commercial property,27/2/2020,21/2/2021,12,"$12,700","$3,556",23.10%,"$67,300",19.30%,2.32x,696,0,"$5,762",61.70%,7.70%,0,1,1,Improving,Medium,Yes,Performing
CNB-010037,Tambudzai Nyandoro,Beitbridge Branch,L. Charamba,Masvingo,Masvingo,Transport Fleet Finance,Mining,Motor vehicle,12/11/2022,1/11/2024,24,"$4,900","$1,524",38.10%,"$30,300",63.70%,0.82x,543,7,"$4,107",37.10%,66.80%,90,2,2,Declining,High,No,Watch
CNB-010038,Vimbai Mutasa,Bulawayo Main,G. Mutasa,Midlands,Gweru,Microfinance Loan,Retail trade,Residential property,22/3/2023,12/9/2024,18,"$69,300","$19,404",32.40%,"$428,900",55.60%,1.01x,429,1,"$35,845",54.10%,85.60%,60,4,3,Declining,High,No,Watch
CNB-010039,Sithembile Mwale,Masvingo Branch,F. Moyo,Matabeleland North,Hwange,Women in Business Loan,Construction,Agricultural land,30/1/2023,23/7/2024,18,"$3,900","$1,092",32.00%,"$12,800",45.80%,1.11x,598,10,"$1,674",65.20%,59.40%,14,1,1,Declining,Low,No,Special mention
CNB-010040,Gracious Tekere,Chinhoyi Branch,B. Makoni,Harare Metropolitan,Harare,Salary-Backed Loan,ICT & telecoms,Salary cession,17/8/2021,22/7/2026,60,"$3,000","$1,631",19.20%,"$22,700",18.20%,1.89x,819,15,"$1,989",82.00%,31.70%,0,0,0,Improving,Medium,No,Performing
CNB-010041,Tafadzwa Mahachi,Gweru Branch,H. Zimba,Mashonaland West,Kadoma,Green Energy Loan,Retail trade,Personal guarantee,8/3/2024,30/8/2025,18,"$3,000","$2,172",22.40%,"$22,200",43.10%,1.72x,607,15,"$5,871",37.00%,62.40%,14,1,1,Stable,High,Yes,Special mention
CNB-010042,Spiwe Mhaka,Bulawayo Main,F. Moyo,Masvingo,Masvingo,Agro-processing Loan,Construction,Commercial vehicle,23/12/2022,2/12/2026,48,"$2,600","$1,758",18.20%,"$9,100",17.10%,2.88x,702,10,"$3,055",57.50%,20.40%,0,0,0,Improving,Medium,No,Performing
CNB-010043,Tinotenda Mutsvairo,Chinhoyi Branch,F. Moyo,Mashonaland West,Kariba,Transport Fleet Finance,Education,Personal guarantee,30/8/2023,26/2/2024,6,"$1,300",$364,29.80%,"$7,200",51.20%,1.64x,644,7,$569,64.00%,47.10%,7,1,1,Improving,Medium,Yes,Special mention
CNB-010044,Zanele Magaya,Chinhoyi Branch,P. Mhlanga,Bulawayo Metropolitan,Bulawayo,Salary-Backed Loan,Manufacturing,Stock/inventory pledge,21/11/2023,10/11/2025,24,"$3,500","$2,398",50.10%,"$14,500",97.30%,0.38x,415,10,"$5,250",45.70%,92.70%,150,2,3,Severely declining,High,No,Non-performing
CNB-010045,Ruvimbo Gumbo,Victoria Falls Branch,S. Dube,Bulawayo Metropolitan,Bulawayo,Agricultural Input Finance,Agriculture,Stock/inventory pledge,29/8/2022,25/2/2023,6,"$2,200",$616,46.80%,"$14,100",81.10%,0.89x,438,2,"$1,322",46.60%,89.30%,120,4,4,Severely declining,High,Yes,Non-performing
CNB-010046,Danai Magaya,Kwekwe Branch,H. Zimba,Bulawayo Metropolitan,Bulawayo,Export Finance,Transport & logistics,Personal guarantee,31/10/2019,29/1/2020,3,"$13,700","$3,836",21.40%,"$94,700",17.70%,2.03x,823,0,"$4,789",80.10%,35.70%,0,0,1,Improving,Low,Yes,Performing
CNB-010047,Munashe Kariwo,Harare Main,L. Charamba,Mashonaland East,Marondera,Property Development Loan,Agriculture,Fixed deposit cession,24/12/2021,19/12/2022,12,"$19,900","$5,572",25.20%,"$125,500",35.20%,1.36x,602,7,"$13,364",41.70%,49.50%,0,2,0,Improving,Medium,No,Special mention
CNB-010048,Rudo Hwata,Beitbridge Branch,D. Rusike,Bulawayo Metropolitan,Bulawayo,Trade Finance Facility,Hospitality & tourism,Company guarantee,11/3/2020,2/9/2021,18,"$20,800","$5,824",47.00%,"$56,700",96.50%,0.86x,328,2,"$8,213",70.90%,89.50%,45,5,2,Severely declining,High,No,Non-performing
CNB-010049,Spiwe Mthembu,Beitbridge Branch,E. Mapfumo,Masvingo,Chiredzi,Transport Fleet Finance,Agriculture,No collateral,12/11/2023,5/5/2025,18,"$14,300","$8,122",19.90%,"$85,100",23.70%,2.66x,676,1,$0,,28.10%,0,0,0,Declining,Medium,No,Performing
CNB-010050,Lucky Chirwa,Kwekwe Branch,S. Dube,Harare Metropolitan,Harare,Trade Finance Facility,Retail trade,Share pledge,23/4/2021,7/4/2024,36,"$10,700","$2,996",42.80%,"$60,600",82.00%,0.83x,403,7,"$8,208",36.50%,87.40%,150,4,3,Severely declining,High,No,Non-performing
CNB-010051,Tongesai Mwanza,Victoria Falls Branch,A. Nkomo,Harare Metropolitan,Harare,Property Development Loan,Retail trade,Residential property,28/6/2024,13/6/2027,36,"$5,700","$5,339",17.90%,"$40,000",14.30%,1.73x,704,2,"$8,138",65.60%,32.60%,0,0,0,Declining,Low,No,Performing
CNB-010052,Trust Nkala,Mutare Branch,A. Nkomo,Harare Metropolitan,Harare,Women in Business Loan,Retail trade,Salary cession,30/4/2019,19/4/2021,24,"$5,900","$1,652",25.90%,"$19,500",41.30%,1.69x,615,0,"$2,046",80.70%,38.40%,0,1,1,Declining,Low,No,Performing
CNB-010053,Mduduzi Tekere,Harare Main,A. Nkomo,Midlands,Gweru,Microfinance Loan,Agriculture,Commercial vehicle,28/4/2023,17/4/2025,24,"$3,000","$1,434",26.30%,"$18,300",53.00%,1.30x,585,5,"$2,789",51.40%,50.60%,7,1,0,Declining,Medium,No,Special mention
CNB-010054,Takudzwa Hwata,Beitbridge Branch,F. Moyo,Mashonaland Central,Bindura,School Fees Loan,Transport & logistics,No collateral,16/12/2020,14/6/2021,6,$600,$168,38.80%,"$3,700",89.70%,0.75x,280,3,$0,,89.90%,45,7,1,Severely declining,High,No,Non-performing
CNB-010055,Zviko Chikafu,Beitbridge Branch,E. Mapfumo,Manicaland,Mutare,Import Finance,Agriculture,No collateral,11/7/2022,25/6/2025,36,"$5,800","$2,656",16.70%,"$37,100",25.10%,3.26x,763,25,$0,,43.60%,0,1,1,Improving,Medium,No,Performing
CNB-010056,Blessed Nkosi,Gweru Branch,E. Mapfumo,Harare Metropolitan,Harare,Digital Business Loan,Agriculture,Stock/inventory pledge,3/5/2021,7/4/2026,60,"$19,300","$9,673",18.30%,"$132,200",23.00%,3.35x,668,3,"$9,829",98.40%,5.40%,0,0,1,Improving,Low,Yes,Performing
CNB-010057,Nkosana Chikwanda,Bulawayo Main,R. Ncube,Midlands,Zvishavane,Property Development Loan,Agriculture,Equipment & machinery,12/8/2021,2/8/2023,24,"$14,100","$3,948",49.90%,"$87,200",85.70%,0.65x,338,7,"$2,425",162.80%,98.20%,90,7,1,Severely declining,High,No,Non-performing
CNB-010058,Tino Pasicha,Bulawayo Main,A. Nkomo,Matabeleland North,Hwange,Transport Fleet Finance,Hospitality & tourism,Salary cession,12/9/2019,6/9/2020,12,"$8,000","$2,240",49.00%,"$16,400",83.40%,0.54x,317,5,"$1,586",141.20%,97.70%,60,3,2,Declining,Medium,No,Non-performing
CNB-010059,Primrose Landa,Harare Main,D. Rusike,Matabeleland South,Beitbridge,Transport Fleet Finance,Agriculture,Fixed deposit cession,25/1/2023,24/7/2023,6,"$28,300","$7,924",17.30%,"$189,200",16.50%,1.93x,679,5,"$6,094",130.00%,17.60%,0,0,0,Improving,Low,Yes,Performing
CNB-010060,Tino Dube,Masvingo Branch,A. Nkomo,Mashonaland West,Chinhoyi,Agricultural Input Finance,Transport & logistics,Motor vehicle,3/3/2023,30/8/2023,6,$800,$224,42.10%,"$2,000",66.00%,0.74x,355,10,$559,40.10%,87.70%,30,7,2,Severely declining,High,Yes,Non-performing
CNB-010061,Progress Madzivire,Mutare Branch,L. Charamba,Manicaland,Mutare,Agro-processing Loan,Manufacturing,Equipment & machinery,12/10/2019,26/9/2022,36,"$12,400","$3,472",22.30%,"$16,700",37.30%,1.33x,520,5,"$7,427",46.70%,56.40%,7,1,2,Stable,High,No,Special mention
CNB-010062,Munyaradzi Mugabe,Chitungwiza Branch,A. Nkomo,Mashonaland West,Norton,Women in Business Loan,Transport & logistics,Agricultural land,12/4/2023,3/10/2024,18,"$8,300","$2,346",21.60%,"$21,800",10.70%,4.00x,697,5,"$1,834",127.90%,9.00%,0,1,1,Stable,Low,Yes,Performing
CNB-010063,Primrose Ncube,Beitbridge Branch,A. Nkomo,Bulawayo Metropolitan,Bulawayo,Agricultural Input Finance,Transport & logistics,Motor vehicle,31/10/2020,29/1/2021,3,"$1,700",$476,46.40%,"$12,500",95.00%,0.33x,416,15,"$1,303",36.50%,82.80%,180,3,1,Severely declining,High,No,Non-performing
CNB-010064,Busisiwe Makuyana,Masvingo Branch,A. Nkomo,Masvingo,Masvingo,Transport Fleet Finance,Retail trade,Company guarantee,10/3/2021,5/3/2022,12,"$7,400","$2,072",46.30%,"$10,200",82.50%,0.78x,371,1,"$2,518",82.30%,100.00%,90,5,2,Severely declining,High,No,Non-performing
CNB-010065,Edmore Phiri,Chinhoyi Branch,R. Ncube,Mashonaland West,Chinhoyi,School Fees Loan,Construction,No collateral,8/11/2020,3/11/2021,12,"$50,300","$14,084",35.80%,"$129,400",72.10%,1.10x,559,10,$0,,67.40%,0,4,0,Declining,Medium,No,Watch
CNB-010066,Phenias Zimba,Masvingo Branch,S. Dube,Mashonaland West,Chinhoyi,Microfinance Loan,Retail trade,Salary cession,8/12/2020,23/11/2023,36,"$19,000","$5,320",20.70%,"$77,200",14.60%,3.99x,765,2,"$6,109",87.10%,40.60%,0,0,0,Declining,Medium,Yes,Performing
CNB-010067,Dzikamai Muchena,Harare Main,D. Rusike,Bulawayo Metropolitan,Bulawayo,Medical Finance,Hospitality & tourism,Stock/inventory pledge,14/6/2023,11/12/2023,6,"$15,800","$4,424",22.00%,"$51,200",45.20%,1.88x,624,5,"$10,565",41.90%,42.20%,0,2,1,Stable,Medium,Yes,Special mention
CNB-010068,Thandeka Vera,Victoria Falls Branch,N. Gumbo,Mashonaland Central,Bindura,Women in Business Loan,Health & pharmaceuticals,Equipment & machinery,16/2/2020,31/1/2023,36,"$8,100","$2,268",35.40%,"$15,500",61.60%,0.76x,467,7,"$4,184",54.20%,65.40%,30,3,0,Severely declining,Medium,No,Watch
CNB-010069,Tongesai Zizhou,Kwekwe Branch,M. Ndlovu,Midlands,Zvishavane,Microfinance Loan,Mining,Fixed deposit cession,28/10/2020,18/10/2022,24,"$29,200","$8,176",30.30%,"$200,900",54.00%,0.97x,540,1,"$10,418",78.50%,79.80%,90,3,3,Stable,Medium,No,Watch
CNB-010070,Dorcas Tshababala,Mutare Branch,C. Sibanda,Harare Metropolitan,Harare,Transport Fleet Finance,Real estate,No collateral,24/5/2021,17/4/2028,84,"$17,600","$11,435",18.70%,"$124,800",27.90%,3.51x,670,15,$0,,33.70%,0,0,1,Stable,Medium,Yes,Performing
CNB-010071,Lindiwe Banda,Gweru Branch,H. Zimba,Manicaland,Mutare,Agricultural Input Finance,Informal trade,Equipment & machinery,28/4/2021,18/4/2023,24,"$17,100","$4,788",30.70%,"$108,300",46.20%,1.67x,528,25,"$6,755",70.90%,52.20%,0,1,0,Stable,Medium,No,Performing
CNB-010072,Nokuthula Zizhou,Masvingo Branch,R. Ncube,Manicaland,Mutare,Youth Enterprise Loan,Education,Residential property,10/10/2020,25/9/2023,36,"$1,500",$420,46.70%,"$7,200",89.90%,0.56x,404,5,$578,72.60%,91.10%,60,2,2,Severely declining,High,No,Non-performing
CNB-010073,Dumisani Munyeza,Bulawayo Main,H. Zimba,Harare Metropolitan,Harare,Import Finance,Education,Commercial vehicle,8/3/2022,3/3/2023,12,"$1,500",$420,18.60%,"$2,700",9.70%,3.75x,752,1,$929,45.20%,20.60%,0,0,0,Stable,Low,No,Performing
CNB-010074,Nomvula Ndudzo,Kwekwe Branch,N. Gumbo,Bulawayo Metropolitan,Bulawayo,Equipment Finance,Agriculture,Agricultural land,14/3/2020,4/3/2022,24,"$9,500","$2,660",39.30%,"$26,600",48.30%,0.90x,550,5,"$2,109",126.10%,63.80%,60,2,3,Severely declining,High,No,Watch
CNB-010075,Nkosana Tumbare,Victoria Falls Branch,G. Mutasa,Bulawayo Metropolitan,Bulawayo,Equipment Finance,Real estate,Agricultural land,28/1/2024,22/1/2025,12,"$2,300","$1,164",25.20%,"$8,100",44.20%,1.31x,650,25,"$2,149",54.10%,46.30%,0,0,0,Declining,High,No,Special mention
CNB-010076,Tariro Dube,Bulawayo Main,P. Mhlanga,Harare Metropolitan,Harare,Transport Fleet Finance,Manufacturing,Personal guarantee,13/11/2023,6/5/2025,18,"$2,500","$1,423",31.40%,"$5,500",52.90%,1.00x,451,7,"$1,263",112.70%,68.60%,30,2,1,Severely declining,High,No,Special mention
CNB-010077,Dumisani Malunga,Masvingo Branch,C. Sibanda,Mashonaland East,Marondera,Green Energy Loan,Agriculture,Residential property,13/4/2021,3/4/2023,24,$600,$168,17.90%,"$2,300",29.90%,3.08x,715,7,$134,124.90%,27.70%,0,0,1,Stable,Low,Yes,Performing
CNB-010078,Nokuthula Pfukwa,Bulawayo Main,N. Gumbo,Bulawayo Metropolitan,Bulawayo,Salary-Backed Loan,Agriculture,Commercial property,14/4/2020,6/10/2021,18,"$1,300",$364,23.70%,"$6,500",42.80%,1.73x,633,2,$398,91.50%,68.80%,14,0,1,Stable,Medium,No,Special mention
CNB-010079,Munyaradzi Sithole,Bulawayo Main,C. Sibanda,Harare Metropolitan,Harare,Digital Business Loan,Manufacturing,Motor vehicle,23/2/2020,7/2/2023,36,"$25,900","$7,252",48.60%,"$196,100",85.80%,0.84x,379,3,"$14,831",48.90%,85.60%,90,6,4,Declining,High,No,Non-performing
CNB-010080,Mthulisi Moyo,Bulawayo Main,R. Ncube,Matabeleland South,Beitbridge,Trade Finance Facility,Energy & utilities,No collateral,24/3/2019,13/3/2021,24,"$6,800","$1,904",32.60%,"$52,300",67.80%,0.88x,441,10,$0,,62.70%,30,1,2,Severely declining,High,No,Watch
CNB-010081,Edmore Maposa,Chinhoyi Branch,P. Mhlanga,Harare Metropolitan,Harare,Green Energy Loan,Health & pharmaceuticals,Personal guarantee,16/3/2023,5/3/2025,24,"$42,200","$18,357",25.10%,"$86,400",33.50%,1.13x,584,1,"$20,198",90.90%,71.60%,0,0,1,Stable,Low,Yes,Special mention
CNB-010082,Nomthandazo Manyere,Beitbridge Branch,H. Zimba,Manicaland,Mutare,School Fees Loan,Agriculture,Motor vehicle,6/4/2020,27/3/2022,24,"$3,400",$952,24.70%,"$25,000",31.00%,1.56x,621,7,"$2,008",47.40%,49.00%,7,1,2,Improving,High,Yes,Special mention
CNB-010083,Nokuthula Tshuma,Chitungwiza Branch,S. Dube,Matabeleland North,Hwange,Import Finance,Transport & logistics,Personal guarantee,10/4/2023,30/3/2025,24,"$34,800","$16,008",37.30%,"$206,600",65.30%,1.16x,515,10,"$33,863",47.30%,75.50%,60,1,0,Declining,Medium,No,Watch
CNB-010084,Shingirai Mukai,Chitungwiza Branch,P. Mhlanga,Harare Metropolitan,Harare,Export Finance,Manufacturing,Motor vehicle,9/2/2019,24/1/2022,36,"$20,900","$5,852",19.20%,"$81,400",13.30%,2.59x,663,10,"$15,519",37.70%,15.60%,0,1,0,Stable,Low,No,Performing
CNB-010085,Mthulisi Nyagura,Chitungwiza Branch,H. Zimba,Bulawayo Metropolitan,Bulawayo,Transport Fleet Finance,Transport & logistics,Agricultural land,11/6/2024,3/12/2025,18,"$3,500","$2,977",22.30%,"$16,400",48.40%,1.90x,655,5,"$6,441",46.20%,56.20%,0,2,0,Improving,Medium,Yes,Performing
